Vessel Name,Call No,Order,Seq,Voyage Status,Port Name,Port Func,BL Code,BL Quantity,BL Date,Cargo Short Name,Arrival Local,Departure Local,Flag,Port Days,Sea Days,Port & Sea Days,Commence Date Gmt,Complete Date Gmt,total voyage days,Vessel Code,LS Sea Days,Total Sea Days,Total Port Days,Ownership,Cargo Group,Port Region,ETB,FunctionName,Region Code
APHROS,APHRO-1,300,400,Completed,SKAW,F,,,,,2023-09-16T03:30:00,2023-09-17T13:00:00,,1.39583333333333,8.5,9.89583333333333,2023-09-04T17:10:00,2023-10-21T09:18:00,46.6722222083,APHRO,1.9283912037037,21.1805555555556,25.4916666666667,Time Charter,,North Europe,2023-09-16T03:30:00,FUELING,EURO
APHROS,APHRO-1,500,800,Completed,TENERIFE,F,,,,,2023-09-26T00:00:00,2023-09-26T10:00:00,,0.416666666666667,9.0,9.41666666666667,2023-09-04T17:10:00,2023-10-21T09:18:00,46.6722222083,APHRO,0.870765293748873,21.1805555555556,25.4916666666667,Time Charter,,NW Africa,2023-09-26T00:00:00,FUELING,EURO
APOLLO.GR,APOGR-1,400,400,Completed,TIN CAN ISLAND,D,,37700.0,,wheat rmw,2023-09-12T13:00:00,2023-09-20T18:45:00,,8.23958333333333,1.42708333333333,9.66666666666667,2023-08-12T11:42:00,2023-09-30T17:42:00,49.25,APOGR,0.947222222222222,22.2326388888889,27.0173611111111,Time Charter,GRAINS,W Africa,2023-09-12T16:00:00,DISCHARGING,AFRA
APOLLO.GR,APOGR-1,500,500,Completed,CALABAR,D,,0.0,,wheat rmw,2023-09-22T05:00:00,2023-09-30T18:42:00,,8.57083333333333,0.0,8.57083333333333,2023-08-12T11:42:00,2023-09-30T17:42:00,49.25,APOGR,0.0,22.2326388888889,27.0173611111111,Time Charter,GRAINS,W Africa,2023-09-22T14:05:00,DISCHARGING,AFRA
APOLLO.GR,APOGR-1,200,200,Completed,GDYNIA,L,,54200.0,,wheat rmw,2023-08-12T13:42:00,2023-08-22T18:40:00,,10.2069444444444,20.8055555555556,31.0125,2023-08-12T11:42:00,2023-09-30T17:42:00,49.25,APOGR,0.0,22.2326388888889,27.0173611111111,Time Charter,GRAINS,Baltic,2023-08-13T17:30:00,LOADING,EURO
ARAGONA,ARAGN-1,200,200,Completed,SANTOS,L,,59800.0,,sugar gen,2024-09-14T20:40:00,2024-09-27T16:30:00,,12.8263888888889,30.1041666666667,42.9305555555556,2024-09-14T23:40:00,2024-11-07T17:45:00,53.7534722083,ARAGN,0.0,30.1041666666667,23.6493055555556,Time Charter,GRAINS,Brazil,2024-09-22T21:05:00,LOADING,SAMR
ARAGONA,ARAGN-1,400,400,Completed,CHITTAGONG,D,,59800.0,,sugar gen,2024-10-28T04:00:00,2024-11-07T23:45:00,,10.8229166666667,0.0,10.8229166666667,2024-09-14T23:40:00,2024-11-07T17:45:00,53.7534722083,ARAGN,0.0,30.1041666666667,23.6493055555556,Time Charter,GRAINS,E India,2024-10-28T08:20:00,DISCHARGING,ASIA
ARION,ARION-1,900,900,Completed,GANYU,D,,52089.989,2023-08-03T00:00:00,nickel ore,2023-08-01T16:00:00,2023-08-03T18:00:00,,2.08333333333333,0.0,2.08333333333333,2023-06-04T08:00:00,2023-08-03T10:00:00,60.0833333333,ARION,0.376382967925294,44.7708333333333,15.3125,Time Charter,OTHER BULK,China,2023-08-01T19:20:00,DISCHARGING,ASIA
ARION,ARION-1,200,200,Completed,ABIDJAN,L,,52089.989,,nickel ore,2023-06-04T08:00:00,2023-06-14T00:30:00,,9.6875,12.6875,22.375,2023-06-04T08:00:00,2023-08-03T10:00:00,60.0833333333,ARION,0.0,44.7708333333333,15.3125,Time Charter,OTHER BULK,W Africa,2023-06-04T09:45:00,LOADING,AFRA
ARION,ARION-1,400,400,Completed,PORT ELIZABETH,F,,,,,2023-06-26T19:00:00,2023-06-29T11:00:00,,2.66666666666667,21.2083333333333,23.875,2023-06-04T08:00:00,2023-08-03T10:00:00,60.0833333333,ARION,0.0,44.7708333333333,15.3125,Time Charter,,S Africa,2023-06-26T19:00:00,FUELING,AFRA
ARION,ARION-1,500,500,Completed,SINGAPORE,F,,,,,2023-07-20T22:00:00,2023-07-21T19:00:00,,0.875,10.875,11.75,2023-06-04T08:00:00,2023-08-03T10:00:00,60.0833333333,ARION,0.0,44.7708333333333,15.3125,Time Charter,,SE Asia,2023-07-20T22:00:00,FUELING,ASIA
ARMONIA.GR,ARMGR-4,700,600,Completed,JACKSONVILLE,D,,0.0,,,2025-05-13T07:18:00,2025-05-21T22:10:00,,8.61944444444444,0.0,8.61944444444444,2025-04-24T01:28:00,2025-05-22T02:10:00,28.0291666666,ARMGR,2.05786290322581,16.7013888888889,11.3277777777778,Time Charter,,E Florida,2025-05-16T23:35:00,DISCHARGING,NAMR
ARMONIA.GR,ARMGR-4,800,700,Completed,JACKSONVILLE,Z,,,,,2025-05-21T22:10:00,2025-05-21T22:10:00,,0.0,0.0,0.0,2025-04-24T01:28:00,2025-05-22T02:10:00,28.0291666666,ARMGR,0.0,16.7013888888889,11.3277777777778,Time Charter,,E Florida,2025-05-21T22:10:00,REDELIVERY,NAMR
